63812974 刘德华 698374 21514 1
94736201 郭富城 733829 21387 1
45012876 张学友 452708 13114 1
96380917 黎明 110986 23109 1
72190863 张国荣 678900 14980 1
18024739 谭咏麟 209876 19912 1
39271608 王菲 333444 88999 1
08437162 玉米 145789 58634 1
91764823 林子祥 145789 23710 1
27349180 张雨生 230914 18930 1
43986217 钟镇涛 901234 14141 1
28604379 费玉清 789012 19283 1
31098642 周杰伦 814703 91384 1
84712930 林俊杰 692307 13914 1
76283491 王力宏 307418 98132 1
09836724 陶喆 418296 82179 1
12479086 吴亦凡 604208 12314 1
80143297 肖战 406802 11111 1
65438720 蔡徐坤 208604 12312 0
98326174 成龙 678901 99899 5
5 0 5 0 1
687 321 687 321 1
